Client,Panier_Moyen
Helena Holý,7.08857142857143
Richard Cunningham,6.80285714285714
Luis Rojas,6.66
Ladislav Kovács,6.51714285714286
Hugh O'Reilly,6.51714285714286
Julia Barnett,6.23142857142857
Frank Ralston,6.23142857142857
Fynn Zimmermann,6.23142857142857
Puja Srivastava,6.10666666666667
Astrid Gruber,6.08857142857143
Victor Stevens,6.08857142857143
Terhi Hämäläinen,5.94571428571429
František Wichterlová,5.80285714285714
Isabelle Mercier,5.80285714285714
Johannes Van der Berg,5.80285714285714
Jack Smith,5.66
João Fernandes,5.66
Luís Gonçalves,5.66
François Tremblay,5.66
Bjørn Hansen,5.66
Dan Miller,5.66
Heather Leacock,5.66
Wyatt Girard,5.66
Jennifer Peterson,5.51714285714286
Tim Goyer,5.51714285714286
Camille Bernard,5.51714285714286
Dominique Lefebvre,5.51714285714286
Joakim Johansson,5.51714285714286
Manoj Pareek,5.51714285714286
Leonie Köhler,5.37428571428571
Kara Nielsen,5.37428571428571
Eduardo Martins,5.37428571428571
Alexandre Rocha,5.37428571428571
Fernanda Ramos,5.37428571428571
Mark Philips,5.37428571428571
Michelle Brooks,5.37428571428571
Patrick Gray,5.37428571428571
Edward Francis,5.37428571428571
Martha Silk,5.37428571428571
Aaron Mitchell,5.37428571428571
Madalena Sampaio,5.37428571428571
Hannah Schneider,5.37428571428571
Niklas Schröder,5.37428571428571
Marc Dubois,5.37428571428571
Lucas Mancini,5.37428571428571
Stanisław Wójcik,5.37428571428571
Emma Jones,5.37428571428571
Phil Hughes,5.37428571428571
Mark Taylor,5.37428571428571
Diego Gutiérrez,5.37428571428571
Daan Peeters,5.37428571428571
Roberto Almeida,5.37428571428571
Frank Harris,5.37428571428571
Kathy Chase,5.37428571428571
John Gordon,5.37428571428571
Robert Brown,5.37428571428571
Ellie Sullivan,5.37428571428571
Enrique Muñoz,5.37428571428571
Steve Murray,5.37428571428571
